"Permanent and non permanent resident population by canton, sex, residence permit, age class and citizenship"

"Year" "Canton" "Population type" "Residence permit" "Sex" "Age class" "Canada"
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "0-4 years" 72
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "5-9 years" 77
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "10-14 years" 100
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "15-19 years" 54
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "20-24 years" 38
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "25-29 years" 23
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "30-34 years" 59
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "35-39 years" 124
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "40-44 years" 170
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "45-49 years" 204
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "50-54 years" 195
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "55-59 years" 138
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "60-64 years" 73
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "65-69 years" 63
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "70-74 years" 53
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "75-79 years" 28
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "80-84 years" 12
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "85-89 years" 9
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "90-94 years" 4
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "95-99 years" 1
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Man" "100 years or older" 0
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Woman" "Age class - Total" 1667
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Woman" "0-4 years" 75
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Woman" "5-9 years" 86
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Woman" "10-14 years" 78
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Woman" "15-19 years" 53
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Woman" "20-24 years" 39
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Woman" "25-29 years" 34
"2016" "Switzerland" "Permanent resident population" "Settlement permit (C)" "Woman" "30-34 years" 117
